T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens,
01,   9963,   9828,      0,   9963,   9828, 136.53,  -0.41,   5995, 31.19,    nan,    745,
02,   5211,   5141,      0,   5211,   5141,  83.18,  -0.22,  10747, 31.09,    nan,    745,
03,  11961,  11787,      1,  11962,  11788, 116.15,   0.12,   8463, 31.92,    nan,    745,
04,  26390,  26084,      0,  26390,  26084, 170.20,  -0.46,   5302, 33.30,    nan,    826,
[2017/09/07 00:01:00] 

 01,   9963,   9828,      0,   9963,   9828, 136.53,  -0.41,   5995, 31.19,    nan,    745,
02,   5211,   5141,      0,   5211,   5141,  83.18,  -0.22,  10747, 31.09,    nan,    745,
03,  11961,  11787,      1,  11962,  11788, 116.14,   0.12,   8463, 31.92,    nan,    745,
04,  26390,  26084,      0,  26390,  26084, 170.20,  -0.46,   5302, 33.30,    nan,    826,
[2017/09/07 00:02:00] 

 01,   9963,   9828,      0,   9963,   9828, 136.53,  -0.41,   5995, 31.19,    nan,    745,
02,   5211,   5141,      0,   5211,   5141,  83.18,  -0.22,  10747, 31.09,    nan,    745,
03,  11961,  11787,      1,  11962,  11788, 116.14,   0.12,   8463, 31.92,    nan,    745,
04,  26390,  26084,      0,  26390,  26084, 170.20,  -0.46,   5302, 33.30,    nan,    826,
[2017/09/07 00:03:00]

 01,   9964,   9828,      0,   9964,   9828, 136.53,  -0.41,   5995, 31.19,    nan,    745,
02,   5211,   5141,      0,   5211,   5141,  83.18,  -0.23,  10747, 31.09,    nan,    745,
03,  11957,  11784,      1,  11958,  11785, 116.11,   0.12,   8467, 31.92,    nan,    745,
04,  26390,  26084,      0,  26390,  26084, 170.20,  -0.46,   5302, 33.30,    nan,    826,
[2017/09/07 00:04:00] 

 01,   9960,   9825,      0,   9960,   9825, 136.49,  -0.41,   5998, 31.19,    nan,    745,
02,   5211,   5141,      0,   5211,   5141,  83.18,  -0.22,  10747, 31.09,    nan,    745,
03,  11958,  11784,      1,  11959,  11785, 116.12,   0.12,   8466, 31.92,    nan,    745,
04,  26390,  26084,      0,  26390,  26084, 170.20,  -0.46,   5302, 33.30,    nan,    826,
[2017/09/07 00:05:00] 

